"","country_or_area","Charcoal...Consumption.by.other.Metric.tons...thousand","Charcoal...Final.consumption.Metric.tons...thousand","Charcoal...Final.energy.consumption.Metric.tons...thousand","Charcoal...Total.energy.supply.Metric.tons...thousand","Electricity...Consumption.by.commercial.and.public.services.Kilowatt.hours..million","Electricity...Consumption.by.households.Kilowatt.hours..million","Electricity...Consumption.by.manufacturing..construction.and.non.fuel.industry.Kilowatt.hours..million","Electricity...Consumption.by.other.manuf...const..and.non.fuel.ind..Kilowatt.hours..million","Electricity...Consumption.by.other.Kilowatt.hours..million","Electricity...Final.energy.consumption.Kilowatt.hours..million","Electricity...Gross.demand.Kilowatt.hours..million","Electricity...Gross.production.Kilowatt.hours..million","Electricity...Losses.Kilowatt.hours..million","Electricity...net.installed.capacity.of.electric.power.plants..public.combustible.fuels.Kilowatts...thousand","Electricity...net.production.Kilowatt.hours..million","Electricity...Own.use.by.electricity..heat.and.CHP.plants.Kilowatt.hours..million","Electricity...total.net.installed.capacity.of.electric.power.plants..combustible.fuels.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity...autoproducer.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity.Kilowatts...thousand","Electricity...total.production..main.activity.Kilowatt.hours..million","Electricity...total.thermal.production.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Terajoules","From.combustible.fuels...Main.activity...Electricity.plants.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Terajoules","Fuel.oil...Total.energy.supply.Metric.tons...thousand","Fuelwood...Consumption.by.households.Cubic.metres..thousand","Fuelwood...Consumption.by.other.Cubic.metres..thousand","Fuelwood...Final.consumption.Cubic.metres..thousand","Fuelwood...Final.energy.consumption.Cubic.metres..thousand","Fuelwood...Production.Cubic.metres..thousand","Fuelwood...Total.energy.supply.Cubic.metres..thousand","Fuelwood...Transformation.Cubic.metres..thousand","Gas.Oil..Diesel.Oil...Consumption.by.transport.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Consumption.in.road.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.energy.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Imports.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Total.energy.supply.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity.plants...main.activity.producers.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity..CHP.and.heat.plants.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Imports.Metric.tons...thousand","Kerosene.type.Jet.Fuel...International.aviation.bunkers.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Total.energy.supply.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.households.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.other.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Final.consumption.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Imports.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Total.energy.supply.Metric.tons...thousand","Liquified.Petroleum.Gas..LPG....Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Consumption.by.transport.Metric.tons...thousand","Motor.Gasoline...Consumption.in.road.Metric.tons...thousand","Motor.Gasoline...Final.consumption.Metric.tons...thousand","Motor.Gasoline...Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Imports.Metric.tons...thousand","Motor.Gasoline...Total.energy.supply.Metric.tons...thousand"
"154","Norway",38.359,38.359,38.359,38.359,23186,37124,45334,32309,62313,108409,124139,142327,8586,607,141620,707,1600,33651,31577,134656,3172,2651,0,130,521,17422,1237,2077.394636,2259.441708,3304.433498,3304.433498,3852.326218,3869.293924,564.8604269,3213,2659,4254,4254,1113,4612,NA,11,12,385,491,507,8,16,721,167,1037,148,899,860,921,921,166,1407
"155","Oman",23.368,23.368,23.368,23.368,8685,11959,4189,4189,20984,25173,28343,29128,3170,8214.1,28343,785,8214.1,8214.1,8214.1,29128,29128,NA,NA,29128,29128,NA,1470,4.591,4.591,4.591,4.591,44.005,44.029,39.438,1210,1210,2301,2301,NA,2480,179,179,179,NA,507,0,152,152,152,NA,118,152,2759,2759,2759,2759,NA,2759
"156","Other Asia",NA,NA,NA,NA,28949,45174,135069,81624,95609,231999,244755,260025,8960,30011,248425,11600,37390.9,48475.6,41095.7,221954,208145,38071,NA,166423,170074,NA,5793,NA,NA,493.48659,493.48659,1136.617406,1136.617406,643.1308155,3886,3781,4639,4639,NA,4407,70,70,70,NA,2398,275,906,959,2492,1700,2560,1279,7281,7281,7314,7314,NA,3571
"157","Pakistan",80.24,80.24,80.24,80.24,11745,40390,25510,25510,60818,86328,101932,105305,18333,7330,101504,3801,15888,23686,15128,61048,68390,44257,NA,24133,24133,NA,10243,29053,29053,29053,29053,29533,29533,480,6285,6043,6965,6965,2709,7269,304,304,304,130,208,680,245,562,562,93,562,562,3997,3997,4062,4062,2392,4062
"158","Palau",NA,NA,NA,NA,44.6,17.5,3.1,3.1,62.1,65.2,73.7,79,10.7,28.05,73.7,5.3,30.05,30.05,28.05,72.9,79,6.1,NA,72.9,72.9,NA,31.7,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,2.4,2.4,23.7,23.7,19.7,21.3,21.3,16.8,16.8,0,NA,NA,NA,NA,NA,NA,27.3,27.3,27.3,27.3,27.3,27.3
"159","Panama",1.272,1.272,1.272,1.272,4545.4,2561.3,689.2,689.2,7123.6,7831.6,9370.2,9287,1328,938.8,9275.8,11.2,1147.8,2828.6,2559.6,9256.1,4135.6,30.9,NA,4104.7,4104.7,NA,35,627.3,627.3,781.9,781.9,787.2,787.2,5.3,570,570,1161,1161,1302,1161,222,222,222,557.82,585.46,-75.82,115,117.1,169.7,199,170,169.7,675.63,675.63,737.87,737.87,687.45,737.87
"160","Papua New Guinea",6.5,6.5,6.5,6.5,70,833.3333333,3055.555556,3055.555556,955.3333333,4010.888889,4169,4169,158,150,4169,0,650,975,320,975,2752,2412,NA,340,340,NA,495.049505,5494.672,5494.672,5494.672,5494.672,5533,5533,38.328,302.325581,302.325581,906.976744,906.976744,581.395349,1116.395349,NA,209.302326,209.302326,45.351474,56.6893424,56.6621316,NA,4.22833,21.14164924,0,21.141649,21.14164924,112.866817,112.866817,112.866817,112.866817,90.293454,112.866817
"161","Paraguay",285.62,322.74,322.74,322.74,232.1,4323.4,3801.4,3801.4,5993.2,9794.6,13432,55282.3,3637.4,14.7,54832.1,450.2,14.7,8824.7,8824.7,55282.3,5.9,NA,NA,5.9,5.9,NA,42.66,NA,4293.93,7275.69,7275.69,10116.93,10116.93,2841.24,1160.17,1160.17,1160.17,1160.17,1169.85,1161.49,1.32,1.32,1.32,36.94,37.19,0,NA,70.27,81.24,82.25,81.24,81.24,554.61,554.61,554.61,554.61,409.3,554.61
"162","Peru",63,63,63,63,7817,8923,21798,11403,17884,39719,44708,45508,5018,5942,44708,800,7302,11202.7,9738.7,42844,22882,2104,NA,20778,20778,NA,524,11351,11373,11373,11373,11995,11995,622,3742,3682,4509,4509,2316,5832,31,118,118,153,796,22,737,814,1592,0,1601,1592,1455,1272,1493,1493,108,2262
"163","Philippines",1854.4,1854.4,1854.4,1854.4,18760.8,20968.9,21428.6,15758.7,41805.1,63344.7,70615.2,77295.3,7270.4,12046,70615.2,6680.1,12056,17970,17944,77261.3,57664.3,17,NA,57647.3,57647.3,NA,2041.9,18142.06897,18827.44828,19539.86207,19539.86207,19539.86207,19539.86207,NA,4968.9,4571.9,6770.1,6770.1,4196.8,7194.7,342.6,342.6,342.6,844,1054,563.4,717.1,965.2,1122.2,798.2,1090.1,1122.2,3034.8,2886.3,3039.2,3039.2,1744.4,3012.8
"164","Poland",NA,NA,NA,NA,45214,28083,48059,33411,74797,125863,146558,159059,10250,27942,145214,13845,29760,35989,34141,150178,148500,8729,17824,NA,139771,257778,783,6795.183361,8999.014779,13641.70772,13641.70772,22043.67816,22043.67816,8263.601533,9489,9396,11815,11815,1452,11745,NA,21,39,27,569,22,490,631,2399,2032,2359,2283,3572,3572,3577,3577,371,3588
"165","Portugal",54,55,55,55,16756,11915,15395,11878,29498,45195,51348,52802,5209,6205,51526,1276,8113,19125,17020,44367,23440,8117,21332,15131,15323,35,470,4721.291735,4721.291735,4721.291735,4721.291735,4882.758621,4882.758621,161.4668856,4001,3956,4619,4619,699,4602,20,21,21,108,961,165,373,446,990,824,975,540,1092,1092,1092,1092,154,1081
"166","Puerto Rico",NA,NA,NA,NA,8720.3,8298.5,2338.2,2338.2,17363.7,19701.9,20521.5,21316.8,569.6,5739,20521.5,795.3,5800,6036.1,5975.1,21066.8,20969.2,250,NA,20719.2,20719.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Qatar",7.74,7.74,7.74,7.74,5680,13731,11568,11568,22216,33784,36124,38692,2341,2190,36124,2568,8751,8751,2190,3502,38692,35190,NA,3502,3502,NA,0,4.3,4.3,4.3,4.3,5.1,8.7,4.4,2792,2792,2792,2792,12,-1498,NA,NA,NA,NA,1254,0,113,113,862,NA,926,113,1676,1676,1676,1676,NA,1676
"168","Republic of Moldova",1,1,1,1,988,1659,905,853,2696,3648,4178,963,481,330,836,127,403,421,347,891,902,71,3041,831,831,7425,16,1336,1370,1375,1373,1418,1380,5,395,392,457,457,457,465,0,0,0,27,25,0,58,62,77,78,78,77,159,159,159,159,151,159
"169","Réunion",15.36,15.36,15.36,15.36,NA,1182.6,NA,NA,2597.7,2597.7,2857.2,2857.2,259.3,510.4,2857.2,1.99e-13,510.4,833.7,833.7,2857.2,2179.8,NA,NA,1915.5,2179.8,2015.5,138.9,12.53,12.53,12.53,12.53,100.81,100.81,88.28,321.1,321.1,369.8,369.8,375.9,375,5.2,5.2,5.2,152.7,48.2,112.5,21.1,21.1,21.1,21,21.1,21.1,92.6,92.3,92.6,92.6,92.9,92.6
"170","Romania",10.4,10.4,10.4,10.4,8223,11910,19855,11166,20988,41905,52957,65676,7097,8981,60699,4977,11323,24054,20896,59581,26903,5037,6222,12279,21866,71534,142,14295.34756,14542.3098,15725.01368,15725.01368,16709.35961,16581.6092,830.2534209,3520,3376,4173,4173,994,4417,2,9,59,16,178,-13,182,209,397,132,486,397,1303,1303,1344,1344,80,1384
"171","Russian Federation",43.45,43.45,43.45,43.45,151774,145919,333701,225612,313873,737830,983691,1064207,106567,157592,994657,69550,182465,259020,233660,997475,705598,65186,2706594,NA,640412,2480625,9050,4521.291735,8762.1237,9131.143952,9131.143952,12689.76464,12658.01861,3877.7237,15379,12736,26328,26328,89,28178,NA,2015,2015,28,5513,5619,5598,6039,15036,138,15147,6733,36425,36086,36425,36425,1059,36503
"172","Rwanda",610,610,610,610,NA,355.4,82.9,82.9,355.4,438.3,523.9,476.1,85.6,42,438.2,37.9,42,118.6,118.6,476.1,290,NA,NA,290,290,NA,3.8,4840,4840,5440,5440,9100,9100,3660,64.39,64.39,70.89,70.89,138.89,138.89,68,68,68,34.81,20,14.81,NA,NA,NA,NA,NA,NA,71.46,71.46,77.76,77.76,77.76,77.76
"173","Samoa",0.527,0.527,0.527,0.527,NA,27.44,17.64,17.64,80.36,98,117,120.6,19,23.2,117,3.6,25.7,37.5,35,115.6,85,5,NA,80,80,NA,NA,67.206,67.206,67.206,67.206,70,70.08,2.874,14,10.5,20.4,20.4,40.4,40.4,19,20,20,NA,NA,NA,0.8,1.35,1.35,1.4,1.4,1.35,21.5,21.5,22.1,22.1,22,22
"174","Sao Tome and Principe",9.2,9.2,9.2,9.2,26,25,NA,NA,51,51,67,67,16,16,67,0,16,18.5,18.5,67,60,NA,NA,60,60,NA,NA,54.6,54.6,54.6,54.6,110,110,55.4,NA,NA,9,9,23.5,23.5,14.5,14.5,14.5,10,10,0,0.1,0.1,0.1,0.1,0.1,0.1,8,8,8,8,8,8
"175","Saudi Arabia",9,9,9,9,82549,135908,48442,28281,223673,272115,304240,311806,21144,49777,304240,7566,65506,65507,49778,214588,311805,97218,NA,214587,214587,NA,20799,0.547345375,0.547345375,0.547345375,0.547345375,NA,0.547345375,NA,18536,18536,22431,22431,11474,36855,10665,12585,12585,NA,2294,765,990,990,4131,NA,4450,990,22357,22357,22357,22357,6766,22357
"176","Senegal",497,497,497,497,817,1064,887,686,2323,3210,3688,3406,478,489,3370,36,854,875,489,2858,3335,477,NA,2858,2858,NA,619,3285.16694,3285.16694,3285.16694,3285.16694,7843.349754,7843.349754,4558.182813,619,619,649,649,476,793,130,144,144,248,262,2,97,102,106,105,106,106,144,106,144,144,58,47
"177","Serbia",1,2,2,2,4566,13802,7156,5711,18666,26158,32564,34060,5163,5140,31899,2161,5175,8385,8350,33771,22437,289,8739,11049,22148,21955,241,3902.463054,4120.853859,4703.0104,4703.0104,5092.28243,4827.476738,120.9633279,1294,1278,1532,1532,434,1538,NA,25,25,0,66,2,35,53,295,161,299,295,384,384,395,395,53,395
"178","Seychelles",NA,NA,NA,NA,37.5,93.4,181.7,181.7,130.9,312.6,352.4,362.8,40.7,80.3,352.4,10.4,80.3,86.3,86.3,362.8,355,NA,NA,355,355,NA,72.9,3.16,3.16,3.16,3.16,3.16,3.16,NA,10.2,10.2,58.32,58.32,208.67,58.67,0.35,0.35,0.35,31.58,27,4.58,2.2,3.4,3.4,3.4,3.4,3.4,20.1,20.1,20.1,20.1,20.1,20.1
"179","Sierra Leone",421,421,421,421,27.4,24.13,34.83,34.83,51.53,86.36,178.21,180.7,78.4,26.5,178.21,2.49,26.5,76.5,76.5,180.7,62.6,NA,NA,62.6,62.6,NA,40.5,3207,3207,3207,3207,5744,5744,2496,80,80,212,212,223.73,223.73,19,19,19,6,6,0,NA,NA,NA,NA,NA,NA,92.4,92.4,92.4,92.4,92.4,92.4
"180","Singapore",19.6,19.6,19.6,19.6,17046.6,6924.4,19753.194,17481.58,24222.7,46416.894,47310,49310,1035,12545,47310,2000,13047,13047,12545,46336.2,49310,2973.8,NA,46336.2,46336.2,NA,-1070.3,NA,0,0,0,30.7,26.53,30,1307,1235,1571,1571,13945.74395,1136.905512,2,2,2,1937.890286,6739.197315,-5.68e-12,25,96,115,114.5,191.3,115,852,852,852,852,13963.02526,851.9999208
"181","Sint Maarten (Dutch part)",0.1,0.1,0.1,0.1,208,108.8,63,63,316.8,379.8,417.9,417.9,38,97.3,417.9,0,97.3,97.3,97.3,417.9,417.9,NA,NA,417.9,417.9,NA,125.8,0.1,0.1,0.1,0.1,NA,0.1,NA,96.7,64.7,96.7,96.7,159.7,96.7,NA,NA,NA,49,49,0,1.9,1.9,1.9,1.9,1.9,1.9,13.6,13.6,13.6,13.6,13.6,13.6
"182","Slovakia",NA,NA,NA,0,6145,4917,12237,8549,11346,24157,25750,27401,667,2411,25007,2394,3068,8092,6947,24361,6719,2317,2901,361,4402,29924,260,163.9846743,202.0799124,993.6507937,993.6507937,1709.688013,1674.329502,677.8325123,1434,1434,1541,1532,707,1544,NA,NA,NA,NA,34,0,4,14,103,49,133,47,574,574,577,577,209,577
"183","Slovenia",NA,NA,NA,NA,3141,3125,6057,4637,6266,12459,13380,17437,821,1192,16486,951,1242,3454,3070,16688,4440,271,107,110,4169,8057,9,1986.206897,1986.206897,2345.265463,2345.265463,2537.27422,2537.27422,192.0087575,1296,1283,1596,1596,2505,1607,2,11,11,316,25,0,22,39,74,74,74,73,436,436,441,441,494,441
"184","Solomon Islands",1.405,1.405,1.405,1.405,24.6,13.9,35.2,35.2,44.7,79.9,89.9,91.9,10,31,89.9,2,36,36.034,31.034,83.9,91.9,8,NA,83.9,83.9,NA,NA,124.2,124.2,124.2,124.2,132.4,132.4,8.3,8.3,6,13.3,13.3,44.1,43.4,27,30.1,30.1,3,3,0,1.8,1.8,1.8,1.8,1.8,1.8,17,17,17,17,17,17
"185","Somalia",850.087,850.087,850.087,850.087,NA,NA,NA,NA,315,315,350,350,35,80,350,0,80,80,80,350,350,NA,NA,350,350,NA,27,7221.125,7221.125,7221.125,7221.125,14038.437,14037.647,6816.522,7,7,7,7,106,93,86,86,86,42,42,0,6.3,6.3,6.3,6.3,6.3,6.3,34,34,34,34,34,34
"186","South Africa",776,776,776,776,27455,37777,120260,105248,74060,198093,231445,252578,20940,41438,238272,14306,43538,46963,44823,240401,232512,12053,NA,220459,220459,NA,607,38288.66995,38288.66995,38288.66995,38288.66995,62923.80952,62923.80952,24635.13957,8038,7942,11162,11162,4347,8511,45,45,45,233,834,904,214,246,251,25,207,251,7867,7827,8059,8059,851,5864
"187","South Sudan",11,11,11,11,154,201,NA,NA,429,429,469,488,28,40,469,19,80,82,41,234,486,253,NA,233,233,NA,NA,682.1018062,706.0755337,706.0755337,706.0755337,890.8593322,890.8593322,175.2599891,254,254,269,269,408,408,62,130,130,48,37,11,2,2,2,2,2,2,47,47,49,49,49,49
"188","Spain",36,36,36,36,70309,70710,71657,50192,151081,226897,259772,278750,26393,49786,268380,10370,56786,113774,106470,246639,112789,31006,NA,81783,81783,NA,498,8796.059113,9235.796388,13942.96661,13942.96661,17121.62014,17648.16639,3350.082102,20937,20438,25911,25911,3812,24934,1132,1142,1142,1951,3556,-1774,970,1125,1663,643,1715,1288,4577,4575,4615,4615,77,4327
"189","Sri Lanka",NA,NA,NA,0,3120.5,4046.2,3758.2,3758.2,7238.8,10997,12423.8,12831.5,1425.6,2233,12423.8,407.7,2243,4057.56,4042.56,12811.5,7985.69,NA,NA,7985.69,7985.69,NA,770.824,11393.69655,11393.69655,17512.37241,17512.37241,17512.37241,17512.37241,NA,1659.76,1627.76,1717.77,1717.77,1394.356,2019.976,302.21,302.21,302.21,234.874,458.25,2.964,198,198,231.55,198,231.55,231.55,835.95,835.95,835.95,835.95,584.794,835.954
"190","St. Helena and Depend.",NA,NA,NA,NA,4.6,4.31,NA,NA,8.91,8.91,9.81,10.67,0.9,7.6,9.81,0.86,7.6,8.646,8.646,10.67,9.59,NA,NA,9.59,9.59,NA,NA,0.56,0.56,0.56,0.56,0.56,0.56,NA,0.35,0.35,0.35,0.35,2.95,2.95,2.6,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6
"191","St. Kitts-Nevis",0.002,0.002,0.002,0.002,94,50,36,36,144,180,219,220,39,56.4,219,1,60.4,63.35,59.35,219,211,1,NA,210,210,NA,NA,0.017931,0.017931,0.017931,0.017931,0.030345,0.030345,0.0124,5.5,5.5,7.3,7.3,55.5,55.5,45,46,46,NA,NA,NA,1.4,1.9,1.9,1.9,1.9,1.9,16.5,16.5,16.51,16.51,16.5,16.5
"192","St. Lucia",0.352,0.352,0.352,0.352,11.05,111.922,17.673,17.673,314.266,331.939,365.513,379.431,33.574,88.4,365.513,13.918,88.4,88.4,88.4,379.431,379.431,NA,NA,379.431,379.431,NA,0,7.773,7.773,7.773,7.773,9.883,9.883,2.11,NA,NA,NA,NA,76.6914,76.6914,76.6914,76.6914,76.6914,NA,NA,NA,6.2,6.2,6.2,6.2,6.2,6.2,49,49,49,49,49,49
"193","St. Pierre-Miquelon",NA,NA,NA,NA,8.9,35.6,NA,NA,44.5,44.5,48.3,48.3,2.9,26.2,48.3,0,26.2,27,27,48.3,47.43,NA,NA,47.43,47.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,27,21,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,4.2,4.2,4.2,4.2
"194","St. Vincent-Grenadines",0.365,0.365,0.365,0.365,73.03,76.43,8.5,8.5,149.46,157.96,164,169.84,12,45.5,164,5.84,45.5,58.3,58.3,169.84,132.48,NA,NA,132.48,132.48,NA,NA,5.1,5.1,5.1,5.1,7.3,7.3,2.2,17.44,NA,17.44,17.44,43.59,43.59,26.15,26.15,26.15,0.05,0.05,0,6.7,6.7,6.7,6.7,6.7,6.7,16.7,16.7,16.7,16.7,16.7,16.7
"195","State of Palestine",NA,NA,NA,NA,1124.1,2953.4,527.4,495.7,4114.5,4641.9,5274.9,336.6,633,140,336.6,0,140,140,140,336.6,336.6,NA,NA,336.6,336.6,NA,3,360,366.3,371.5,371.5,364.7,371.5,NA,549.5,549.5,576.3,576.3,520.2,563.7,69.5,69.5,69.5,NA,NA,NA,125,137.1,148.2,148.2,148.2,148.2,196.2,196.2,200,200,198.3,209.1
"196","Sudan",1551,1596,1596,1596,2228,5303,1628,1628,8082,9710,11335,11376,1625,1287,11335,41,1287,3117,3117,11376,2463,NA,NA,2463,2463,NA,429,12765.18883,16262.39737,16262.39737,16262.39737,38811.16585,38811.16585,22548.76847,1668,1649,1822,1822,476,2127,265,265,265,124,244,0,173,454,470,161,470,470,823,823,823,823,40,823
"197","Suriname",1.61,1.61,1.61,1.61,365.9,643.3,946.2,946.2,1009.2,1955.4,2144.9,2179.6,189.6,115,2144.9,34.7,238,427,115,588.7,1384.5,795.8,NA,588.7,588.7,NA,360,93.91724138,94.33103448,112.4827586,112.4827586,112.4827586,112.4827586,NA,50.2,50.2,159.8,159.8,219.3,196.4,17,17,38,47.9,43.1,4.8,12.9,14.5,14.5,14.4,14.4,14.5,132.6,NA,149.1,149.1,149.1,149.1
"198","Swaziland",44.18,44.18,44.18,44.18,103,338,336,336,682,1018,1427,567,171,9.5,567,0,99.5,172.5,78.5,302,265,265,9249.33,0,0,NA,4.9,731.27,731.27,731.27,731.27,1125.03,1015.44,284.17,101,81,120,120,120,120,0,0,0,0.6,0.6,0,4,6,6,6,6,6,91.9,91.9,95,95,95,95
"199","Sweden",NA,NA,NA,NA,30826,36821,50730,41918,68846,122191,132375,153662,7334,8076,149956,3706,9270,39930,38727,147865,13632,5785,15494,15,7847,145397,264,4150.738916,4954.351396,6486.918446,6486.918446,23615.54461,23615.54461,17128.62616,4289,4256,4883,4883,2400,5324,2,22,22,872,703,243,NA,NA,933,1100,961,311,2916,2916,2916,2916,1815,3363
"200","Switzerland",NA,NA,NA,NA,17110,18286,18019,13307,36369,57457,62153,71767,4696,263,70008,1759,993,19165,16813,64902,3566,3109,11720,NA,457,5593,46,1880.350301,2613.574165,3553.256705,3553.256705,4052.545156,4214.559387,661.302682,2699,2682,5552,5552,2936,5457,NA,19,21,1554,1530,59,NA,81,167,35,168,83,2694,2693,2694,2694,1248,2682
"201","Syrian Arab Republic",1,1,1,1,1637,7205,5298,5298,10455,15753,19106,21726,3353,7014,19244,2482,8109,9603,8508,21229,18726,497,NA,18229,18229,NA,2205,NA,24.9589491,24.9589491,24.9589491,31.19868637,31.19868637,6.239737274,1090,1090,2180,2180,909,2390,NA,207,207,NA,16,32,471,471,471,320,471,471,971,971,971,971,523,971
"202","T.F.Yug.Rep. Macedonia",NA,NA,NA,NA,NA,3045.964,2205.919,612.531,4504.136,6729.135,7935.538,5303.059,1068.841,1077,4975.719,327.34,1080,1763.8,1760.8,5302.151,4082.025,0.908,27.026,3885.008,4081.117,1929.248,122.54,560.984,593.755,622.822,622.822,606.78,623.316,0,372.604,370,467.015,467.015,560.13,468.643,0,0,0,26.706,11.969,-0.001,7.302,13.489,61.773,62.574,61.773,61.773,100.36,100.36,100.731,100.731,103.73,101.924
"203","Tajikistan",0.1,0.1,0.1,0.1,1195,2957,4057,3956,8172,12270,15155,16472,2804,318,16448,24,318,5190,5190,16472,472,NA,NA,NA,472,1063,31,90,90,90,90,90,90,NA,248,248,248,248,244,248,NA,NA,NA,61,61,0,NA,295,295,295,295,295,247,247,247,247,246,247
"204","Thailand",4422,4422,4422,4422,50321,38993,73782,54525,94837,168785,179330,180862,10545,32264,169136,11726,48238,53472.3,37498.3,145972,173631,33782,NA,139849,139849,NA,1312,NA,NA,2171.319102,2171.319102,58830.87028,58830.87028,56659.55118,9699,9491,18112,18112,300,18148,36,36,36,3,3637,496,1480,2188,7415,2099,7517,4740,5359,5359,5457,5457,644,5457
"205","Timor-Leste",NA,NA,NA,NA,59.8,62.5,NA,NA,314,314,349,349,35,286,349,0,286,286,286,349,349,NA,NA,349,349,NA,NA,110.4,110.4,110.4,110.4,110.4,110.4,NA,NA,NA,50,50,130,130,80,80,80,3.2,3.2,0,NA,NA,NA,NA,NA,NA,23,23,23,23,23,23
"206","Togo",670,670,670,670,141,573,309,309,714,1023,1208.2,357.7,185.6,152,351.3,6.4,160,227,219,346.7,237.9,11,NA,226.9,226.9,NA,65,3635.358511,4240.831965,4240.831965,4240.831965,11922.27696,11922.27696,7681.444992,266,266,268,268,277,272,3.6,5.6,5.6,72,78,1,7,7,7,7,7,7,153,153,153,153,131,153
"207","Tonga",0.273,0.273,0.273,0.273,15.78,17.214,NA,NA,47.818,47.818,52.561,54.561,4.743,13.9,52.561,2,13.9,15.5,15.5,54.561,52.063,NA,NA,52.063,52.063,NA,23.628,0.582,0.582,0.582,0.582,2.105,2.106,1.524,0.985,NA,0.985,0.985,0.985,0.985,0,0,0,4.247,4.247,0,1.635,1.635,1.635,1.635,1.635,1.635,10.652,10.652,10.652,10.652,10.652,10.652
"208","Trinidad and Tobago",2,2,2,2,1014,2666,5626,5626,3680,9306,9531,9891,228,2402,9531,360,2598,2598,2402,9813,9891,78,NA,9813,9813,NA,-1,19.64,19.64,19.64,19.64,31.64,31.64,12,393,393,516,516,NA,535,5,5,5,NA,212,113,41,41,41,NA,28,41,504,504,519,519,NA,519
"209","Tunisia",208.4,208.4,208.4,208,4137,4495,5445,4488,9652,15190,18282,19024,2842,4497,18371,653,4695,4998,4792,18257,18254,560,NA,17694,17694,NA,323,2328,2337,2337,2337,3764,3764,1427,1389,1370,1815,1815,1151,1786,1,1,1,258,264,9,418,461,509,342,506,509,539,539,539,539,535,539
"210","Turkey",NA,NA,NA,NA,57330,46190,95844,70977,108682,205442,244706,251963,37331,41740,239449,12514,44576,72893,69493,247522,200171,3907,6634,189074,196264,78162,1302,9738.368911,9738.368911,9738.368911,9738.368911,9909.031199,9909.031199,170.6622879,13548,13148,17570,17540,12959,18889,102,102,102,850,2540,968,801,801,3751,3118,3751,3751,1916,1916,1945,1945,NA,1945
"211","Turkmenistan",10,10,10,10,NA,2331,4001,2702,6800,11089,15648,20400,2547,4000,18858,1542,4000,4001,4001,20400,20400,NA,NA,NA,20400,9846,931,10,10,10,10,10,10,NA,1040,1040,2080,2080,NA,2080,NA,NA,NA,NA,470,0,NA,994,994,NA,994,994,1505,1505,1505,1505,NA,1505
"212","Turks and Caicos Islands",0.137,0.137,0.137,0.137,66,74,NA,NA,211,211,222,230,11,79,222,8,79,79,79,230,230,NA,NA,230,230,NA,NA,0.263,0.263,0.263,0.263,1.085,1.085,0.822,8,7,8,8,67,67,59,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Tuvalu",NA,NA,NA,NA,3,2.1,NA,NA,5.1,5.1,5.1,5.1,NA,2.8,5.1,0,2.8,2.8,2.8,5.1,5.1,NA,NA,5.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,1.8,1.8,1.6,1.6,1.6,NA,NA,NA,0.018,0.018,0.018,0.018,0.018,0.018,1.2,NA,1.2,1.2,1.2,1.2
